date;open;high;low;close;Volume BTC;Volume USDT;tradecount;
2022-02-07;42380.87;42500.00;41934.73;42068.68;1192.77128000;50322429.17867000;30502;
2022-02-06;41382.60;42656.00;41116.56;42380.87;22405.16704000;934168802.88011520;788291;
2022-02-05;41571.70;41913.69;40843.01;41382.59;32532.34372000;1349805515.93003650;1006352;
2022-02-04;37311.98;41772.33;37026.73;41574.25;64703.95874000;2526572562.05828510;1380724;
2022-02-03;36896.37;37387.00;36250.00;37311.61;32081.10999000;1179502838.65662640;848961;
2022-02-02;38694.59;38855.92;36586.95;36896.36;35794.68130000;1353093948.97760130;907905;
2022-02-01;38466.90;39265.20;38000.00;38694.59;34574.44663000;1334266166.70999890;917617;
2022-01-31;37881.75;38744.00;36632.61;38466.90;36855.24580000;1386754529.02954460;936014;
2022-01-30;38166.83;38359.26;37351.63;37881.76;21430.66527000;812750216.60103190;698593;
2022-01-29;37716.57;38720.74;37268.44;38166.84;26129.49682000;989652386.99664940;816601;
2022-01-28;37160.11;38000.00;36155.01;37716.56;42154.26956000;1560203931.22012810;1061101;
2022-01-27;36807.24;37234.47;35507.01;37160.10;53020.87934000;1925920128.34366030;1308408;
2022-01-26;36958.32;38919.98;36234.63;36809.34;69830.16036000;2627491976.69085740;1584468;
2022-01-25;36660.35;37545.14;35701.00;36958.32;49232.40183000;1799224214.49973920;1248246;
2022-01-24;36244.55;37550.00;32917.17;36660.35;91904.75321100;3192041586.10318994;1999352;
2022-01-23;35071.42;36499.00;34601.01;36244.55;44279.52354000;1572414639.04287740;1142407;
2022-01-22;36445.31;36835.22;34008.00;35071.42;90471.33896100;3207531048.03065140;2099978;
2022-01-21;40680.92;41100.00;35440.45;36445.31;88860.89199900;3405501703.22193692;2092561;
2022-01-20;41660.00;43505.00;40553.31;40680.91;42330.33953000;1784801200.40448700;1098761;
2022-01-19;42352.12;42559.13;41138.56;41660.01;31685.72159000;1327478459.16022980;924528;
2022-01-18;42201.63;42691.00;41250.00;42352.12;29324.08257000;1228459687.39944580;905061;
2022-01-17;43071.66;43176.18;41540.42;42201.62;27562.08613000;1169381684.46684350;918029;
2022-01-16;43084.29;43475.00;42581.79;43071.66;20602.35271000;887203134.05314680;732171;
2022-01-15;43059.96;43800.00;42555.00;43084.29;21936.05616000;946488263.54844810;752688;
2022-01-14;42558.35;43448.78;41725.95;43059.96;32640.88292000;1392000443.35016740;946938;
2022-01-13;43902.65;44500.00;42311.22;42560.11;34910.87762000;1515944525.49549480;1036234;
2022-01-12;42729.29;44322.00;42450.00;43902.66;33943.29280000;1470906437.71207140;1023902;
2022-01-11;41822.49;43100.00;41268.93;42729.29;37296.43729000;1574803608.96007870;1015526;
2022-01-10;41864.62;42248.50;39650.00;41822.49;50729.17019000;2088111339.50559650;1250983;
2022-01-09;41679.74;42786.70;41200.02;41864.62;22724.39426000;952830064.51258490;752733;
2022-01-08;41566.48;42300.00;40501.00;41679.74;32952.73111000;1367233494.82776660;1021908;
2022-01-07;43082.30;43145.83;40610.00;41566.48;54836.50818000;2293851015.46523690;1406635;
2022-01-06;43451.14;43816.00;42430.58;43082.31;38880.37305000;1674466154.43833260;1150707;
2022-01-05;45832.01;47070.00;42500.00;43451.13;51784.11857000;2334288544.64544840;1478532;
2022-01-04;46446.10;47557.54;45500.00;45832.01;35491.41360000;1649170424.12761340;1021815;
2022-01-03;47286.18;47570.00;45696.00;46446.10;27662.07710000;1292203508.32565490;885624;
2022-01-02;47722.66;47990.00;46654.00;47286.18;18340.46040000;866610995.56335820;709624;
2022-01-01;46216.93;47954.63;46208.37;47722.65;19604.46325000;924155159.58348650;714899;
2021-12-31;47120.88;48548.26;45678.00;46216.93;34937.99796000;1650715977.91851720;1059783;
2021-12-30;46464.66;47900.00;45900.00;47120.87;30352.29569000;1428755720.45320290;910157;
2021-12-29;47543.74;48139.08;46096.99;46464.66;39498.87000000;1873785571.27329660;1114074;
2021-12-28;50701.44;50704.05;47313.01;47543.74;45853.33924000;2242102220.93100330;1345774;
2021-12-27;50775.48;52088.00;50449.00;50701.44;28779.58212000;1471423612.09186190;1009238;
2021-12-26;50399.67;51280.00;49412.00;50775.49;22569.88914000;1132200241.56241820;797133;
2021-12-25;50819.99;51156.23;50142.32;50399.66;19135.51613000;971491029.13082400;766979;
2021-12-24;50838.82;51810.00;50384.43;50820.00;31661.94946000;1616919305.70366660;1074410;
2021-12-23;48588.17;51375.00;47920.42;50838.81;35192.54046000;1738129830.78145220;1176050;
2021-12-22;48887.59;49576.13;48421.87;48588.16;27004.20220000;1322418595.33372950;949480;
2021-12-21;46914.17;49328.96;46630.00;48889.88;37713.92924000;1827234149.05988020;1119412;
2021-12-20;46681.24;47537.57;45558.85;46914.16;35848.50609000;1663363117.83045340;1076488;
2021-12-19;46834.47;48300.01;46406.91;46681.23;29305.70665000;1384958598.36276990;874827;
2021-12-18;46133.83;47392.37;45500.00;46834.48;25020.05271000;1165205135.70084270;862066;
2021-12-17;47632.38;47995.96;45456.00;46131.20;43104.48870000;2015966349.51613240;1261780;
2021-12-16;48864.98;49436.43;47511.00;47632.38;31949.86739000;1551200654.05274500;1023983;
2021-12-15;48336.95;49500.00;46547.00;48864.98;51629.18100000;2487012309.09154930;1438176;
2021-12-14;46702.76;48700.41;46290.00;48343.28;39955.98445000;1887427362.47409660;1194992;
2021-12-13;50053.90;50189.97;45672.75;46702.75;50869.52093000;2423888500.79030500;1399599;
2021-12-12;49389.99;50777.00;48638.00;50053.90;26017.93421000;1292315883.62455370;863605;
2021-12-11;47140.54;49485.71;46751.00;49389.99;28889.19358000;1397524635.58140210;957390;
2021-12-10;47535.90;50125.00;46852.00;47140.54;44233.57391000;2135023722.85315130;1215231;
2021-12-09;50471.19;50797.76;47320.00;47545.59;37692.68665000;1841474998.89511000;1130599;
2021-12-08;50588.95;51200.00;48600.00;50471.19;38425.92466000;1925458787.11475220;1118225;
2021-12-07;50441.91;51936.33;50039.74;50588.95;38253.46877000;1950573500.20866580;1212350;
2021-12-06;49396.32;50891.11;47100.00;50441.92;58571.21575000;2851528919.17953640;1741956;
2021-12-05;49152.46;49699.05;47727.21;49396.33;45580.82012000;2231486105.84391170;1371839;
2021-12-04;53601.05;53859.10;42000.30;49152.47;114203.37374800;5495712061.97853156;3362771;
2021-12-03;56484.26;57600.00;51680.00;53601.05;58927.69027000;3246198505.94685110;1865063;
2021-12-02;57184.07;57375.47;55777.77;56480.34;37574.05976000;2127110102.10730950;1307890;
2021-12-01;56950.56;59053.55;56458.01;57184.07;44956.63656000;2584928714.07574240;1442301;
2021-11-30;57776.25;59176.99;55875.55;56950.56;49161.05194000;2823644073.02190490;1587472;
