"date";"open";"high";"low";"close";"Volume.BTC";"Volume.USDT";"tradecount";"X";"movement";"relevant_tweet_posted";"tweet_posted";"movement_absolute_value_bitcoin";"movement_absolute_in_percent";"movement_in_percent"
"movement";"2022-02-07";42380.87;42500;41934.73;42068.68;1192.77128;50322429.17867;"30502";"";-312.190000000002;0;0;312.190000000002;0.131124336902058;-0.131124336902058
"movement.1";"2022-02-06";41382.6;42656;41116.56;42380.87;22405.16704;934168802.880115;"788291";"";998.270000000004;0;0;998.270000000004;0.722023723419647;0.722023723419647
"movement.2";"2022-02-05";41571.7;41913.69;40843.01;41382.59;32532.34372;1349805515.93004;"1006352";"";-189.110000000001;0;0;189.110000000001;0.120321944391424;-0.120321944391424
"movement.3";"2022-02-04";37311.98;41772.33;37026.73;41574.25;64703.95874;2526572562.05829;"1380724";"";4262.27;0;0;4262.27;0.582915981717674;0.582915981717674
"movement.4";"2022-02-03";36896.37;37387;36250;37311.61;32081.10999;1179502838.65663;"848961";"";415.239999999998;0;0;415.239999999998;0.0602113865700358;0.0602113865700358
"movement.5";"2022-02-02";38694.59;38855.92;36586.95;36896.36;35794.6813;1353093948.9776;"907905";"";-1798.23;0;0;1798.23;0.206821713272276;-0.206821713272276
"movement.6";"2022-02-01";38466.9;39265.2;38000;38694.59;34574.44663;1334266166.71;"917617";"";227.689999999995;0;0;227.689999999995;0.0268917785730309;0.0268917785730309
"movement.7";"2022-01-31";37881.75;38744;36632.61;38466.9;36855.2458;1386754529.02954;"936014";"";585.150000000001;0;0;585.150000000001;0.0742411266533449;0.0742411266533449
"movement.8";"2022-01-30";38166.83;38359.26;37351.63;37881.76;21430.66527;812750216.601032;"698593";"";-285.07;0;0;285.07;0.034905832495595;-0.034905832495595
"movement.9";"2022-01-29";37716.57;38720.74;37268.44;38166.84;26129.49682;989652386.996649;"816601";"";450.269999999997;0;0;450.269999999997;0.0583510549376208;0.0583510549376208
"movement.10";"2022-01-28";37160.11;38000;36155.01;37716.56;42154.26956;1560203931.22013;"1061101";"";556.449999999997;0;0;556.449999999997;0.0777152864969948;0.0777152864969948
"movement.11";"2022-01-27";36807.24;37234.47;35507.01;37160.1;53020.87934;1925920128.34366;"1308408";"";352.860000000001;0;0;352.860000000001;0.0518359863909603;0.0518359863909603
"movement.12";"2022-01-26";36958.32;38919.98;36234.63;36809.34;69830.16036;2627491976.69086;"1584468";"";-148.980000000003;0;0;148.980000000003;0.0214103404270001;-0.0214103404270001
"movement.13";"2022-01-25";36660.35;37545.14;35701;36958.32;49232.40183;1799224214.49974;"1248246";"";297.970000000001;0;0;297.970000000001;0.0447378891499698;0.0447378891499698
"movement.14";"2022-01-24";36244.55;37550;32917.17;36660.35;91904.753211;3192041586.10319;"1999352";"";415.799999999996;0;0;415.799999999996;0.0665860630469763;0.0665860630469763
"movement.15";"2022-01-23";35071.42;36499;34601.01;36244.55;44279.52354;1572414639.04288;"1142407";"";1173.13;0;0;1173.13;0.231321799417127;0.231321799417127
"movement.16";"2022-01-22";36445.31;36835.22;34008;35071.42;90471.338961;3207531048.03065;"2099978";"";-1373.89;0;0;1373.89;0.213161197832222;-0.213161197832222
"movement.17";"2022-01-21";40680.92;41100;35440.45;36445.31;88860.891999;3405501703.22194;"2092561";"";-4235.61;1;1;4235.61;6.22042236973507;-6.22042236973507
"movement.18";"2022-01-20";41660;43505;40553.31;40680.91;42330.33953;1784801200.40449;"1098761";"";-979.089999999997;0;1;979.089999999997;0.589813253012046;-0.589813253012046
"movement.19";"2022-01-19";42352.12;42559.13;41138.56;41660.01;31685.72159;1327478459.16023;"924528";"";-692.110000000001;1;1;692.110000000001;0.294249443055627;-0.294249443055627
"movement.20";"2022-01-18";42201.63;42691;41250;42352.12;29324.08257;1228459687.39945;"905061";"";150.490000000005;0;0;150.490000000005;0.068353901427581;0.068353901427581
"movement.21";"2022-01-17";43071.66;43176.18;41540.42;42201.62;27562.08613;1169381684.46684;"918029";"";-870.040000000001;0;1;870.040000000001;0.283247494839924;-0.283247494839924
"movement.22";"2022-01-16";43084.29;43475;42581.79;43071.66;20602.35271;887203134.053147;"732171";"";-12.6299999999974;0;1;12.6299999999974;0.00409494567631363;-0.00409494567631363
"movement.23";"2022-01-15";43059.96;43800;42555;43084.29;21936.05616;946488263.548448;"752688";"";24.3300000000017;0;1;24.3300000000017;0.00795108432790028;0.00795108432790028
"movement.24";"2022-01-14";42558.35;43448.78;41725.95;43059.96;32640.88292;1392000443.35017;"946938";"";501.610000000001;1;1;501.610000000001;0.196067778060078;0.196067778060078
"movement.25";"2022-01-13";43902.65;44500;42311.22;42560.11;34910.87762;1515944525.49549;"1036234";"";-1342.54;0;0;1342.54;0.344007277106582;-0.344007277106582
"movement.26";"2022-01-12";42729.29;44322;42450;43902.66;33943.2928;1470906437.71207;"1023902";"";1173.37;0;1;1173.37;0.429917670896095;0.429917670896095
"movement.27";"2022-01-11";41822.49;43100;41268.93;42729.29;37296.43729;1574803608.96008;"1015526";"";906.800000000003;0;1;906.800000000003;0.497561029141451;0.497561029141451
