"Date";"Close.Last";"Volume";"Open";"High";"Low";"movement";"relevant_tweet_posted";"tweet_posted";"movement_absolute_value_tesla";"movement_absolute_in_percent";"movement_in_percent"
"movement";2022-01-20;"$996.27";23496250;"$1009.73";"$1041.66";"$994";-13.46;0;1;13.46;0.0133302962178008;-0.0133302962178008
"movement.1";2022-01-19;"$995.65";25147500;"$1041.705";"$1054.6699";"$995";-46.0549999999999;1;1;46.0549999999999;0.0442111730288325;-0.0442111730288325
"movement.2";2022-01-18;"$1030.51";22329800;"$1026.605";"$1070.7899";"$1016.06";3.90499999999997;0;0;3.90499999999997;0.00380379990356561;0.00380379990356561
"movement.3";2022-01-14;"$1049.61";24308140;"$1019.88";"$1052";"$1013.3788";29.7299999999999;1;1;29.7299999999999;0.0291504882927402;0.0291504882927402
"movement.4";2022-01-13;"$1031.56";32403260;"$1109.065";"$1115.6";"$1026.5391";-77.5050000000001;0;0;77.5050000000001;0.0698831898941902;-0.0698831898941902
"movement.5";2022-01-12;"$1106.22";27913010;"$1078.85";"$1114.84";"$1072.5901";27.3700000000001;0;1;27.3700000000001;0.025369606525467;0.025369606525467
"movement.6";2022-01-11;"$1064.4";22021070;"$1053.67";"$1075.85";"$1038.82";10.73;1;1;10.73;0.0101834540226067;0.0101834540226067
"movement.7";2022-01-10;"$1058.12";30604960;"$1000";"$1059.1";"$980";58.1199999999999;0;1;58.1199999999999;0.0581199999999999;0.0581199999999999
"movement.8";2022-01-07;"$1026.96";28054920;"$1080.37";"$1080.9299";"$1010";-53.4099999999999;0;1;53.4099999999999;0.0494367670335162;-0.0494367670335162
"movement.9";2022-01-06;"$1064.7";30112160;"$1077";"$1088";"$1020.5";-12.3;0;1;12.3;0.0114206128133704;-0.0114206128133704
"movement.10";2022-01-05;"$1088.12";26706600;"$1146.65";"$1170.34";"$1081.0101";-58.5300000000002;0;1;58.5300000000002;0.051044346574805;-0.051044346574805
"movement.11";2022-01-04;"$1149.59";33416090;"$1189.55";"$1208";"$1123.05";-39.96;1;1;39.96;0.033592534992224;-0.033592534992224
"movement.12";2022-01-03;"$1199.78";34895350;"$1147.75";"$1201.07";"$1136.04";52.03;1;1;52.03;0.0453321716401655;0.0453321716401655
"movement.13";2021-12-31;"$1056.78";13577880;"$1073.4444";"$1081.9999";"$1054.59";-16.6644000000001;0;0;16.6644000000001;0.015524232088779;-0.015524232088779
"movement.14";2021-12-30;"$1070.34";15680310;"$1061.33";"$1095.55";"$1053.15";9.00999999999999;0;1;9.00999999999999;0.00848934827056617;0.00848934827056617
"movement.15";2021-12-29;"$1086.19";18718020;"$1098.64";"$1104";"$1064.14";-12.45;0;1;12.45;0.0113321925289449;-0.0113321925289449
"movement.16";2021-12-28;"$1088.47";20107970;"$1109.49";"$1118.9999";"$1078.42";-21.02;0;0;21.02;0.0189456416912275;-0.0189456416912275
"movement.17";2021-12-27;"$1093.94";23715270;"$1073.67";"$1117";"$1070.7152";20.27;1;1;20.27;0.0188791714400141;0.0188791714400141
"movement.18";2021-12-23;"$1067";30904430;"$1006.8";"$1072.9767";"$997.56";60.2;1;1;60.2;0.0597934048470402;0.0597934048470402
"movement.19";2021-12-22;"$1008.87";31211360;"$965.66";"$1015.6599";"$957.05";43.21;0;1;43.21;0.0447465981815546;0.0447465981815546
"movement.20";2021-12-21;"$938.53";23839310;"$916.87";"$939.5";"$886.12";21.66;1;1;21.66;0.023623850709479;0.023623850709479
"movement.21";2021-12-20;"$899.94";18826670;"$910.7";"$921.6884";"$893.39";-10.76;0;1;10.76;0.011815087295487;-0.011815087295487
"movement.22";2021-12-17;"$932.57";33626750;"$914.77";"$960.6599";"$909.0401";17.8000000000001;0;1;17.8000000000001;0.0194584431059174;0.0194584431059174
"movement.23";2021-12-16;"$926.92";27590480;"$994.5";"$994.98";"$921.85";-67.58;0;1;67.58;0.0679537456008045;-0.0679537456008045
"movement.24";2021-12-15;"$975.99";25056410;"$953.21";"$978.7499";"$928.2501";22.78;0;0;22.78;0.0238981966198424;0.0238981966198424
"movement.25";2021-12-14;"$958.51";23602090;"$945";"$966.41";"$930";13.51;1;1;13.51;0.0142962962962963;0.0142962962962963
"movement.26";2021-12-13;"$966.41";26198500;"$1001.09";"$1005";"$951.42";-34.6800000000001;0;1;34.6800000000001;0.0346422399584454;-0.0346422399584454
"movement.27";2021-12-10;"$1017.03";19888120;"$1008.75";"$1020.9797";"$982.53";8.27999999999997;0;1;8.27999999999997;0.00820817843866168;0.00820817843866168
"movement.28";2021-12-09;"$1003.8";19812830;"$1060.64";"$1062.49";"$1002.36";-56.8400000000001;0;1;56.8400000000001;0.0535902851108766;-0.0535902851108766
"movement.29";2021-12-08;"$1068.96";13968790;"$1052.71";"$1072.38";"$1033.0001";16.25;0;0;16.25;0.0154363499919256;0.0154363499919256
"movement.30";2021-12-07;"$1051.75";18694860;"$1044.2";"$1057.6739";"$1026.81";7.54999999999995;1;1;7.54999999999995;0.00723041562918977;0.00723041562918977
"movement.31";2021-12-06;"$1009.01";27221040;"$1001.51";"$1021.64";"$950.5";7.5;1;1;7.5;0.0074886920749668;0.0074886920749668
"movement.32";2021-12-03;"$1014.97";30774000;"$1084.79";"$1090.5753";"$1000.21";-69.8199999999999;0;1;69.8199999999999;0.0643626877091418;-0.0643626877091418
"movement.33";2021-12-02;"$1084.6";24371620;"$1099.06";"$1113";"$1056.65";-14.46;1;1;14.46;0.0131566975415355;-0.0131566975415355
"movement.34";2021-12-01;"$1095";22934700;"$1160.695";"$1172.8399";"$1090.76";-65.6949999999999;1;1;65.6949999999999;0.0565997096567142;-0.0565997096567142
"movement.35";2021-11-30;"$1144.76";27092040;"$1144.37";"$1168";"$1118";0.3900000000001;0;1;0.3900000000001;0.000340798867499235;0.000340798867499235
"movement.36";2021-11-29;"$1136.99";19464470;"$1100.99";"$1142.67";"$1100.19";36;0;0;36;0.0326978446670724;0.0326978446670724
"movement.37";2021-11-26;"$1081.92";11680890;"$1099.47";"$1108.7827";"$1081";-17.55;0;1;17.55;0.0159622363502414;-0.0159622363502414
"movement.38";2021-11-24;"$1116";22560240;"$1080.39";"$1132.77";"$1062";35.6099999999999;0;1;35.6099999999999;0.0329603198844861;0.0329603198844861
"movement.39";2021-11-23;"$1109.03";36171700;"$1167.51";"$1180.4999";"$1062.7";-58.48;0;0;58.48;0.0500895067279938;-0.0500895067279938
"movement.40";2021-11-22;"$1156.87";33072510;"$1162.33";"$1201.95";"$1132.43";-5.46000000000004;1;1;5.46000000000004;0.00469746113410136;-0.00469746113410136
